timestamp,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2025-12-06 01:00:00+02:00,12.917392,1282.52978,284.18233,68.3701,0.0,234.729613,8.71065,1953.9144,0.170151,2.969,511.515061
2025-12-06 02:00:00+02:00,12.755888,1284.70333,282.952605,68.0129,0.0,236.939848,8.67006,1953.2304,0.310959,2.961,505.047252
2025-12-06 03:00:00+02:00,13.034288,1286.65529,282.06336,67.9244,0.0,233.167611,8.71065,1952.9568,0.24254,2.979,505.101851
2025-12-06 04:00:00+02:00,12.886144,1285.04217,284.483555,67.9067,0.0,229.811026,8.70965,1952.2728,0.139144,3.049,514.622295
2025-12-06 05:00:00+02:00,12.618864,1285.19849,288.02534,68.0111,0.0,227.620206,8.67301,1953.9144,0.079091,3.21,521.193202
2025-12-06 06:00:00+02:00,12.58216,1285.4943,292.92585,68.233,0.0,229.090365,94.90002,1953.9144,8.33578,2.925,531.371164
2025-12-06 07:00:00+02:00,12.14368,1286.39312,294.031155,68.6647,0.0,241.681829,184.95834,1955.556,28.070073,2.778,536.82946
2025-12-06 08:00:00+02:00,11.178944,1291.08175,294.634995,68.3843,0.0,265.351155,276.58481,1954.7352,105.215311,3.249,554.285615
2025-12-06 09:00:00+02:00,12.421648,1286.81094,295.30668,68.467,0.0,263.117319,276.3394,1952.6832,228.980269,3.41,559.556246
2025-12-06 10:00:00+02:00,12.523168,1288.44862,295.64729,68.5904,0.0,251.683314,222.10819,1953.3672,293.412707,3.667,537.019263
2025-12-06 11:00:00+02:00,13.019392,1291.99752,294.985565,69.1859,0.0,242.648099,128.30073,1954.5984,363.584203,3.61,515.398445
2025-12-06 12:00:00+02:00,13.008512,1288.60217,295.6609,68.4592,0.0,211.546358,181.39641,1954.0512,429.551819,3.465,483.702644
2025-12-06 13:00:00+02:00,12.987888,1286.78934,295.55882,68.4578,0.0,206.974567,136.25932,1953.504,407.373259,3.753,460.007004
2025-12-06 14:00:00+02:00,12.681504,1293.34981,295.889375,68.3621,0.0,219.543053,159.62364,1953.0936,302.532767,3.842,452.042811
