created_doc_time,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
2026-05-02 10:38:30+03:00,0,BG,Planned maintenance,A03,,2026-07-05 23:59:00+03:00,IT6GophZ94NhZkH3dYiAcw,230.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G6,1,MAW,PT1M,1,2026-05-04 00:00:00+03:00
2026-05-04 00:38:26+03:00,74.25,BG,Planned maintenance,A03,,2026-05-04 00:32:00+03:00,0o1C553JjRBVqrvJ7ZylJw,165.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G2,1,MAW,PT1M,3,2026-04-05 17:00:00+03:00
2026-05-07 08:22:49+03:00,873.6,BG,Planned maintenance,A03,,2026-05-08 20:00:00+03:00,iio9j5UiHzSgdw3VzT1HvQ,1040.0,Nuclear,32W001100100217D,Kozloduy,NPP_KOZLODUY,NPP KZL G9,1,MAW,PT1M,4,2026-04-27 12:00:00+03:00
2026-05-08 17:53:50+03:00,0,BG,Planned maintenance,A03,,2026-05-08 17:45:00+03:00,hbcSAOHblHnx8MPI6Lwv1w,218.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G7,1,MAW,PT1M,4,2026-03-01 00:00:00+02:00
2026-05-09 00:38:28+03:00,0,BG,Planned maintenance,A03,,2026-06-17 23:59:00+03:00,dlB__lvq7qOH4Avn6v6UIA,1040.0,Nuclear,32W001100100217D,Kozloduy,NPP_KOZLODUY,NPP KZL G9,1,MAW,PT1M,7,2026-05-09 00:22:00+03:00
2026-05-10 10:07:53+03:00,0,BG,Planned maintenance,A03,,2026-07-12 23:59:00+03:00,LpxnS2QDewmGGjK9JJ1Apw,230.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G5,1,MAW,PT1M,1,2026-05-11 00:00:00+03:00
2026-05-10 18:40:48+03:00,0,BG,Planned maintenance,A03,,2026-05-10 18:33:00+03:00,DX0BCNt2w66kSRrmfJUp6w,177.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G3,1,MAW,PT1M,3,2026-04-27 00:00:00+03:00
2026-05-10 22:42:19+03:00,0,BG,Planned maintenance,A03,,2026-05-13 23:59:00+03:00,CkxVxSJFqLULXLgz8Il4jg,230.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G8,1,MAW,PT1M,2,2026-05-09 00:00:00+03:00
2026-05-11 11:41:50+03:00,77.88,BG,Planned maintenance,A03,,2026-05-11 11:15:00+03:00,wVgarQOZe_A_h83yQTlr3w,177.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G3,1,MAW,PT1M,3,2026-05-10 18:33:00+03:00
2026-05-11 16:08:28+03:00,77.88,BG,Planned maintenance,A03,,2026-05-11 16:15:00+03:00,xZCOW9xtj4g3nw9vBduUlg,177.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G3,1,MAW,PT1M,2,2026-05-11 14:00:00+03:00
